[2026-05-05T13:09:50.821+0000] {globalretail_etl_dag.py:399} INFO - Batch 72/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:53.712+0000] {globalretail_etl_dag.py:399} INFO - Batch 73/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:56.640+0000] {globalretail_etl_dag.py:399} INFO - Batch 74/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:59.700+0000] {globalretail_etl_dag.py:399} INFO - Batch 75/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:02.620+0000] {globalretail_etl_dag.py:399} INFO - Batch 76/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:05.644+0000] {globalretail_etl_dag.py:399} INFO - Batch 77/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:08.667+0000] {globalretail_etl_dag.py:399} INFO - Batch 78/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:09.681+0000] {globalretail_etl_dag.py:399} INFO - Batch 79/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:10.695+0000] {globalretail_etl_dag.py:399} INFO - Batch 80/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:11.710+0000] {globalretail_etl_dag.py:399} INFO - Batch 81/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:15.780+0000] {globalretail_etl_dag.py:399} INFO - Batch 82/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:18.816+0000] {globalretail_etl_dag.py:399} INFO - Batch 83/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:21.853+0000] {globalretail_etl_dag.py:399} INFO - Batch 84/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:22.762+0000] {globalretail_etl_dag.py:399} INFO - Batch 85/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:25.731+0000] {globalretail_etl_dag.py:399} INFO - Batch 86/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:28.650+0000] {globalretail_etl_dag.py:399} INFO - Batch 87/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:31.633+0000] {globalretail_etl_dag.py:399} INFO - Batch 88/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:34.660+0000] {globalretail_etl_dag.py:399} INFO - Batch 89/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:37.703+0000] {globalretail_etl_dag.py:399} INFO - Batch 90/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:10:40.717+0000] {globalretail_etl_dag.py:399} INFO - Batch 91/806 → inserted=0  skipped(dup)=1000
